match_id,ball_id,over,ball,innings,batting_team,bowling_team,batter_id,batter_name,bowler_id,bowler_name,runs_scored,extras,wicket_type,phase,balls_remaining,runs_required,wickets_lost,current_partnership,rr,rrr
M002,B018,3,6,1,Team_X,Team_Y,BAT102,Root,BOW103,Cummins,2,0,,powerplay,102,131,1,29,17.14,7.71
M002,B019,4,1,1,Team_X,Team_Y,BAT102,Root,BOW104,Lyon,1,0,,powerplay,101,130,1,30,17.82,7.72
M002,B020,4,2,1,Team_X,Team_Y,BAT103,Kohli,BOW104,Lyon,0,0,,powerplay,100,129,1,30,18.00,7.74
M002,B021,4,3,1,Team_X,Team_Y,BAT103,Kohli,BOW104,Lyon,6,0,,powerplay,99,123,1,36,21.82,7.45
M002,B022,4,4,1,Team_X,Team_Y,BAT103,Kohli,BOW104,Lyon,1,0,,powerplay,98,122,1,37,22.65,7.47
M002,B023,4,5,1,Team_X,Team_Y,BAT102,Root,BOW104,Lyon,4,0,,powerplay,97,118,1,41,25.36,7.30
M002,B024,4,6,1,Team_X,Team_Y,BAT102,Root,BOW104,Lyon,0,0,,powerplay,96,118,1,41,25.63,7.38
M002,B025,5,1,1,Team_X,Team_Y,BAT102,Root,BOW105,Zampa,2,0,,powerplay,95,116,1,43,27.16,7.33
M002,B026,5,2,1,Team_X,Team_Y,BAT102,Root,BOW105,Zampa,1,0,,powerplay,94,115,1,44,28.09,7.34
M002,B027,5,3,1,Team_X,Team_Y,BAT103,Kohli,BOW105,Zampa,0,0,,powerplay,93,114,1,44,28.39,7.35
M002,B028,5,4,1,Team_X,Team_Y,BAT103,Kohli,BOW105,Zampa,4,0,,powerplay,92,110,1,48,31.30,7.17
M002,B029,5,5,1,Team_X,Team_Y,BAT103,Kohli,BOW105,Zampa,1,0,,powerplay,91,109,1,49,32.31,7.19
M002,B030,5,6,1,Team_X,Team_Y,BAT102,Root,BOW105,Zampa,2,0,,powerplay,90,107,1,51,34.00,7.13
M002,B031,6,1,1,Team_X,Team_Y,BAT102,Root,BOW101,Starc,0,0,,powerplay,89,105,1,51,34.38,7.08
M002,B032,6,2,1,Team_X,Team_Y,BAT102,Root,BOW101,Starc,1,0,,powerplay,88,104,1,52,35.45,7.09
M002,B033,6,3,1,Team_X,Team_Y,BAT103,Kohli,BOW101,Starc,0,0,,powerplay,87,103,1,52,35.86,7.10
M002,B034,6,4,1,Team_X,Team_Y,BAT103,Kohli,BOW101,Starc,4,0,,powerplay,86,99,1,56,39.07,6.91
M002,B035,6,5,1,Team_X,Team_Y,BAT103,Kohli,BOW101,Starc,1,0,,powerplay,85,98,1,57,40.24,6.92
M002,B036,6,6,1,Team_X,Team_Y,BAT102,Root,BOW101,Starc,2,0,,powerplay,84,96,1,59,42.14,6.86
M002,B037,7,1,1,Team_X,Team_Y,BAT102,Root,BOW102,Hazlewood,1,0,,middle,83,95,1,60,43.37,6.87
M002,B038,7,2,1,Team_X,Team_Y,BAT103,Kohli,BOW102,Hazlewood,0,0,,middle,82,94,1,60,43.90,6.88
M002,B039,7,3,1,Team_X,Team_Y,BAT103,Kohli,BOW102,Hazlewood,4,0,,middle,81,90,1,64,47.41,6.67
M002,B040,7,4,1,Team_X,Team_Y,BAT103,Kohli,BOW102,Hazlewood,2,0,,middle,80,88,1,66,49.50,6.60
M002,B041,7,5,1,Team_X,Team_Y,BAT103,Kohli,BOW102,Hazlewood,1,0,,middle,79,87,1,67,50.89,6.61
M002,B042,7,6,1,Team_X,Team_Y,BAT102,Root,BOW102,Hazlewood,0,0,,middle,78,86,1,67,51.54,6.62
M002,B043,8,1,1,Team_X,Team_Y,BAT102,Root,BOW103,Cummins,6,0,,middle,77,80,1,73,56.88,6.23
M002,B044,8,2,1,Team_X,Team_Y,BAT102,Root,BOW103,Cummins,1,0,,middle,76,79,1,74,58.42,6.24
M002,B045,8,3,1,Team_X,Team_Y,BAT103,Kohli,BOW103,Cummins,0,0,,middle,75,78,1,74,59.20,6.24
M002,B046,8,4,1,Team_X,Team_Y,BAT103,Kohli,BOW103,Cummins,4,0,,middle,74,74,1,78,63.24,6.00
M002,B047,8,5,1,Team_X,Team_Y,BAT103,Kohli,BOW103,Cummins,2,0,,middle,73,72,1,80,65.75,5.92
M002,B048,8,6,1,Team_X,Team_Y,BAT103,Kohli,BOW103,Cummins,1,0,,middle,72,71,1,81,67.50,5.92
M003,B001,1,1,2,Team_Y,Team_X,BAT201,Finch,BOW201,Bumrah,0,0,,powerplay,119,180,0,0,0.0,9.08
M003,B002,1,2,2,Team_Y,Team_X,BAT201,Finch,BOW201,Bumrah,1,0,,powerplay,118,179,0,1,0.51,9.11
M003,B003,1,3,2,Team_Y,Team_X,BAT202,Smith,BOW201,Bumrah,0,0,,powerplay,117,178,0,1,0.51,9.13
M003,B004,1,4,2,Team_Y,Team_X,BAT202,Smith,BOW201,Bumrah,4,0,,powerplay,116,174,0,5,2.59,9.00
M003,B005,1,5,2,Team_Y,Team_X,BAT202,Smith,BOW201,Bumrah,0,0,,powerplay,115,174,0,5,2.61,9.09
M003,B006,1,6,2,Team_Y,Team_X,BAT202,Smith,BOW201,Bumrah,1,0,,powerplay,114,173,0,6,3.16,9.11 
